TeamID,TeamName,FirstD1Season,LastD1Season
1101,Abilene Chr,2014,2020
1102,Air Force,1985,2020
1103,Akron,1985,2020
1104,Alabama,1985,2020
1105,Alabama A&M,2000,2020
1106,Alabama St,1985,2020
1107,SUNY Albany,2000,2020
1108,Alcorn St,1985,2020
1109,Alliant Intl,1985,1991
1110,American Univ,1985,2020
1111,Appalachian St,1985,2020
1112,Arizona,1985,2020
1113,Arizona St,1985,2020
1114,Ark Little Rock,1985,2020
1115,Ark Pine Bluff,1999,2020
1116,Arkansas,1985,2020
1117,Arkansas St,1985,2020
1118,Armstrong St,1987,1987
1119,Army,1985,2020
1120,Auburn,1985,2020
1121,Augusta,1985,1991
1122,Austin Peay,1985,2020
1123,Ball St,1985,2020
1124,Baylor,1985,2020
1125,Belmont,2000,2020
1126,Bethune-Cookman,1985,2020
1127,Binghamton,2002,2020
1128,Birmingham So,2003,2006
1129,Boise St,1985,2020
1130,Boston College,1985,2020
1131,Boston Univ,1985,2020
1132,Bowling Green,1985,2020
1133,Bradley,1985,2020
1134,Brooklyn,1985,1992
1135,Brown,1985,2020
1136,Bryant,2009,2020
1137,Bucknell,1985,2020
1138,Buffalo,1992,2020
1139,Butler,1985,2020
1140,BYU,1985,2020
1141,C Michigan,1985,2020
1142,Cal Poly,1995,2020
1143,California,1985,2020
1144,Campbell,1985,2020
1145,Canisius,1985,2020
1146,Cent Arkansas,2007,2020
1147,Centenary,1985,2011
1148,Central Conn,1987,2020
1149,Charleston So,1985,2020
1150,Charlotte,1985,2020
1151,Chattanooga,1985,2020
1152,Chicago St,1985,2020
1153,Cincinnati,1985,2020
1154,Citadel,1985,2020
1155,Clemson,1985,2020
1156,Cleveland St,1985,2020
1157,Coastal Car,1987,2020
1158,Col Charleston,1992,2020
1159,Colgate,1985,2020
1160,Colorado,1985,2020
1161,Colorado St,1985,2020
1162,Columbia,1985,2020
1163,Connecticut,1985,2020
1164,Coppin St,1986,2020
1165,Cornell,1985,2020
1166,Creighton,1985,2020
1167,CS Bakersfield,2008,2020
1168,CS Fullerton,1985,2020
1169,CS Northridge,1991,2020
1170,CS Sacramento,1992,2020
1171,Dartmouth,1985,2020
1172,Davidson,1985,2020
1173,Dayton,1985,2020
1174,Delaware,1985,2020
1175,Delaware St,1985,2020
1176,Denver,1999,2020
1177,DePaul,1985,2020
1178,Detroit,1985,2020
1179,Drake,1985,2020
1180,Drexel,1985,2020
1181,Duke,1985,2020
1182,Duquesne,1985,2020
1183,E Illinois,1985,2020
1184,E Kentucky,1985,2020
1185,E Michigan,1985,2020
1186,E Washington,1985,2020
1187,East Carolina,1985,2020
1188,SIUE,2009,2020
1189,Elon,2000,2020
1190,ETSU,1985,2020
1191,Evansville,1985,2020
1192,F Dickinson,1985,2020
1193,Fairfield,1985,2020
1194,FL Atlantic,1994,2020
1195,FL Gulf Coast,2008,2020
1196,Florida,1985,2020
1197,Florida A&M,1985,2020
1198,Florida Intl,1988,2020
1199,Florida St,1985,2020
1200,Fordham,1985,2020
1201,Fresno St,1985,2020
1202,Furman,1985,2020
1203,G Washington,1985,2020
1204,Ga Southern,1985,2020
1205,Gardner Webb,2003,2020
1206,George Mason,1985,2020
1207,Georgetown,1985,2020
1208,Georgia,1985,2020
1209,Georgia St,1985,2020
1210,Georgia Tech,1985,2020
1211,Gonzaga,1985,2020
1212,Grambling,1985,2020
1213,Grand Canyon,2014,2020
1214,Hampton,1996,2020
1215,Hardin-Simmons,1985,1990
1216,Hartford,1985,2020
1217,Harvard,1985,2020
1218,Hawaii,1985,2020
1219,High Point,2000,2020
1220,Hofstra,1985,2020
1221,Holy Cross,1985,2020
1222,Houston,1985,2020
1223,Houston Bap,1985,2020
1224,Howard,1985,2020
1225,Idaho,1985,2020
1226,Idaho St,1985,2020
1227,IL Chicago,1985,2020
1228,Illinois,1985,2020
1229,Illinois St,1985,2020
1230,Incarnate Word,2014,2020
1231,Indiana,1985,2020
1232,Indiana St,1985,2020
1233,Iona,1985,2020
1234,Iowa,1985,2020
1235,Iowa St,1985,2020
1236,PFW,2003,2020
1237,IUPUI,1999,2020
1238,Jackson St,1985,2020
1239,Jacksonville,1985,2020
1240,Jacksonville St,1996,2020
1241,James Madison,1985,2020
1242,Kansas,1985,2020
1243,Kansas St,1985,2020
1244,Kennesaw,2006,2020
1245,Kent,1985,2020
1246,Kentucky,1985,2020
1247,La Salle,1985,2020
1248,Lafayette,1985,2020
1249,Lamar,1985,2020
1250,Lehigh,1985,2020
1251,Liberty,1989,2020
1252,Lipscomb,2003,2020
1253,Long Beach St,1985,2020
1254,LIU Brooklyn,1985,2020
1255,Longwood,2005,2020
1256,Louisiana Tech,1985,2020
1257,Louisville,1985,2020
1258,Loy Marymount,1985,2020
1259,Loyola MD,1985,2020
1260,Loyola-Chicago,1985,2020
1261,LSU,1985,2020
1262,MA Lowell,2014,2020
1263,Maine,1985,2020
1264,Manhattan,1985,2020
1265,Marist,1985,2020
1266,Marquette,1985,2020
1267,Marshall,1985,2020
1268,Maryland,1985,2020
1269,Massachusetts,1985,2020
1270,McNeese St,1985,2020
1271,MD E Shore,1985,2020
1272,Memphis,1985,2020
1273,Mercer,1985,2020
1274,Miami FL,1986,2020
1275,Miami OH,1985,2020
1276,Michigan,1985,2020
1277,Michigan St,1985,2020
1278,Minnesota,1985,2020
1279,Mississippi,1985,2020
1280,Mississippi St,1985,2020
1281,Missouri,1985,2020
1282,Missouri KC,1990,2020
1283,Missouri St,1985,2020
1284,Monmouth NJ,1985,2020
1285,Montana,1985,2020
1286,Montana St,1985,2020
1287,Morehead St,1985,2020
1288,Morgan St,1985,2020
1289,Morris Brown,2002,2003
1290,MS Valley St,1985,2020
1291,Mt St Mary's,1989,2020
1292,MTSU,1985,2020
1293,Murray St,1985,2020
1294,N Colorado,2005,2020
1295,N Dakota St,2006,2020
1296,N Illinois,1985,2020
1297,N Kentucky,2013,2020
1298,Navy,1985,2020
1299,NC A&T,1985,2020
1300,NC Central,2008,2020
1301,NC State,1985,2020
1302,NE Illinois,1991,1998
1303,NE Omaha,2012,2020
1304,Nebraska,1985,2020
1305,Nevada,1985,2020
1306,New Hampshire,1985,2020
1307,New Mexico,1985,2020
1308,New Mexico St,1985,2020
1309,New Orleans,1985,2020
1310,Niagara,1985,2020
1311,Nicholls St,1985,2020
1312,NJIT,2007,2020
1313,Norfolk St,1998,2020
1314,North Carolina,1985,2020
1315,North Dakota,2009,2020
1316,North Florida,2006,2020
1317,North Texas,1985,2020
1318,Northeastern,1985,2020
1319,Northern Arizona,1985,2020
1320,Northern Iowa,1985,2020
1321,Northwestern,1985,2020
1322,Northwestern LA,1985,2020
1323,Notre Dame,1985,2020
1324,Oakland,2000,2020
1325,Ohio,1985,2020
1326,Ohio St,1985,2020
1327,Okla City,1985,1985
1328,Oklahoma,1985,2020
1329,Oklahoma St,1985,2020
1330,Old Dominion,1985,2020
1331,Oral Roberts,1985,2020
1332,Oregon,1985,2020
1333,Oregon St,1985,2020
1334,Pacific,1985,2020
1335,Penn,1985,2020
1336,Penn St,1985,2020
1337,Pepperdine,1985,2020
1338,Pittsburgh,1985,2020
1339,Portland,1985,2020
1340,Portland St,1999,2020
1341,Prairie View,1985,2020
1342,Presbyterian,2008,2020
1343,Princeton,1985,2020
1344,Providence,1985,2020
1345,Purdue,1985,2020
1346,Quinnipiac,1999,2020
1347,Radford,1985,2020
1348,Rhode Island,1985,2020
1349,Rice,1985,2020
1350,Richmond,1985,2020
1351,Rider,1985,2020
1352,Robert Morris,1985,2020
1353,Rutgers,1985,2020
1354,S Carolina St,1985,2020
1355,S Dakota St,2006,2020
1356,S Illinois,1985,2020
1357,Sacred Heart,2000,2020
1358,Sam Houston St,1987,2020
1359,Samford,1985,2020
1360,San Diego,1985,2020
1361,San Diego St,1985,2020
1362,San Francisco,1986,2020
1363,San Jose St,1985,2020
1364,UC Santa Barbara,1985,2020
1365,Santa Clara,1985,2020
1366,Savannah St,2003,2019
1367,SC Upstate,2008,2020
1368,SE Louisiana,1985,2020
1369,SE Missouri St,1992,2020
1370,Seattle,2009,2020
1371,Seton Hall,1985,2020
1372,SF Austin,1987,2020
1373,Siena,1985,2020
1374,SMU,1985,2020
1375,South Alabama,1985,2020
1376,South Carolina,1985,2020
1377,South Dakota,2009,2020
1378,South Florida,1985,2020
1379,Southern Miss,1985,2020
1380,Southern Univ,1985,2020
1381,Southern Utah,1989,2020
1382,St Bonaventure,1985,2020
1383,St Francis NY,1985,2020
1384,St Francis PA,1985,2020
1385,St John's,1985,2020
1386,St Joseph's PA,1985,2020
1387,St Louis,1985,2020
1388,St Mary's CA,1985,2020
1389,St Peter's,1985,2020
1390,Stanford,1985,2020
1391,Stetson,1985,2020
1392,Stony Brook,2000,2020
1393,Syracuse,1985,2020
1394,TAM C. Christi,2003,2020
1395,TCU,1985,2020
1396,Temple,1985,2020
1397,Tennessee,1985,2020
1398,Tennessee St,1985,2020
1399,Tennessee Tech,1985,2020
1400,Texas,1985,2020
1401,Texas A&M,1985,2020
1402,Texas St,1985,2020
1403,Texas Tech,1985,2020
1404,TN Martin,1993,2020
1405,Toledo,1985,2020
1406,Towson,1985,2020
1407,Troy,1994,2020
1408,Tulane,1985,2020
1409,Tulsa,1985,2020
1410,UTRGV,1985,2020
1411,TX Southern,1985,2020
1412,UAB,1985,2020
1413,UC Davis,2005,2020
1414,UC Irvine,1985,2020
1415,UC Riverside,2002,2020
1416,UCF,1985,2020
1417,UCLA,1985,2020
1418,Louisiana,1985,2020
1419,ULM,1985,2020
1420,UMBC,1987,2020
1421,UNC Asheville,1987,2020
1422,UNC Greensboro,1992,2020
1423,UNC Wilmington,1985,2020
1424,UNLV,1985,2020
1425,USC,1985,2020
1426,UT Arlington,1985,2020
1427,UT San Antonio,1985,2020
1428,Utah,1985,2020
1429,Utah St,1985,2020
1430,Utah Valley,2005,2020
1431,UTEP,1985,2020
1432,Utica,1985,1987
1433,VCU,1985,2020
1434,Valparaiso,1985,2020
1435,Vanderbilt,1985,2020
1436,Vermont,1985,2020
1437,Villanova,1985,2020
1438,Virginia,1985,2020
1439,Virginia Tech,1985,2020
1440,VMI,1985,2020
1441,W Carolina,1985,2020
1442,W Illinois,1985,2020
1443,WKU,1985,2020
1444,W Michigan,1985,2020
1445,W Salem St,2007,2010
1446,W Texas A&M,1985,1986
1447,Wagner,1985,2020
1448,Wake Forest,1985,2020
1449,Washington,1985,2020
1450,Washington St,1985,2020
1451,Weber St,1985,2020
1452,West Virginia,1985,2020
1453,WI Green Bay,1985,2020
1454,WI Milwaukee,1991,2020
1455,Wichita St,1985,2020
1456,William & Mary,1985,2020
1457,Winthrop,1987,2020
1458,Wisconsin,1985,2020
1459,Wofford,1996,2020
1460,Wright St,1988,2020
1461,Wyoming,1985,2020
1462,Xavier,1985,2020
1463,Yale,1985,2020
1464,Youngstown St,1985,2020
1465,Cal Baptist,2019,2020
1466,North Alabama,2019,2020
1467,Merrimack,2020,2020
